,Hg0_pM,HgT_pM,DMHg_pM,MMHg_pM,PRES,TEMP,PSAL,DOXY,NITRAT,NITRIT,SILCAT,PHSPHT
164,0.02,0.54,0.1,0.05,356.0,10.445,34.6425,23.275,30.705,0.0,25.38,2.6
165,,,0.02,0.09,1411.0,3.106666667,34.57333333,103.4333333,39.935,0.0,109.715,2.855
166,,,0.02,0.09,1816.0,2.406666667,34.62,127.46666670000002,38.19,0.0,124.405,2.725
179,0.0,0.09,0.0,,20.0,24.26,35.99,223.6,2.6,0.05,1.46,0.39
180,0.0,0.15,0.0,0.02,50.0,24.08333333,36.09,226.0,1.765,0.04,1.22,0.355
181,0.02,0.11,,,86.0,23.49333333,36.43,224.2666667,0.0,0.0,0.975,0.225
182,,,,0.22,95.0,23.48333333,36.46333333,222.9666667,0.0,0.0,0.925,0.22
183,0.03,0.18,,,227.0,18.21333333,35.39,204.83333330000002,5.265,0.02,0.93,0.59
184,0.0,0.41,,,327.0,11.43333333,34.56666667,74.53333333,23.17,0.0,16.01,2.145
185,0.02,0.68,,,403.0,9.143333333,34.55,45.6,32.23,0.0,23.43,2.525
186,0.01,0.68,,,503.0,7.3833333329999995,34.50666667,75.26666667,36.655,0.0,30.31,2.515
187,0.01,0.72,,,1008.0,4.26,34.52,91.56666667,40.615,0.0,78.385,2.86
188,0.01,0.75,0.08,,1512.0,2.88,34.59,113.1,39.29,0.0,113.67,2.84
189,0.01,0.71,0.05,0.12,1766.0,2.475,34.61,125.8,38.27,0.0,122.7,2.755
204,,,0.0,,20.0,24.61666667,35.91666667,222.8,3.165,0.07,1.61,0.42
205,0.01,0.34,0.0,,90.0,23.14333333,36.19333333,220.16666669999998,0.61,0.05,1.315,0.36
206,0.02,0.32,0.0,,226.0,17.84333333,35.31333333,190.7666667,7.155,0.02,1.805,0.73
207,,,0.04,,1259.0,3.59,34.55,111.1,38.95,0.0,95.37,2.75
218,0.0,0.2,,0.0,20.0,24.65,36.03,221.4,2.09,0.04,1.51,0.345
219,0.02,0.09,0.0,0.0,85.0,23.61,36.25,220.1,0.295,0.02,1.17,0.285
220,0.02,0.18,,,122.0,23.36,36.44,215.8,0.05,0.105,0.83,0.28
221,,,0.0,0.0,150.0,22.22,36.19,209.9,0.38,0.97,0.78,0.335
222,0.01,0.49,0.06,0.04,377.0,9.47,34.56,44.8,31.205,0.0,22.94,2.445
223,0.0,0.75,,,453.0,8.07,34.54,65.6,35.435,0.0,28.795,2.455
224,,,0.06,0.02,553.0,6.78,34.51,93.2,36.315,0.0,37.045,2.445
225,0.0,0.15,0.0,,75.0,24.38666667,36.16666667,224.43333330000002,1.06,0.02,1.22,0.3
226,0.0,0.15,0.02,,90.0,24.04,36.24333333,220.33333330000002,0.385,0.02,1.36,0.3
227,0.01,0.15,,,121.0,23.36,36.32333333,212.0333333,0.03,0.105,1.22,0.295
228,,,0.19,,1007.0,4.273333333,34.51333333,121.23333329999998,38.145,0.0,74.875,2.695
229,,,0.06,,1259.0,3.57,34.54,127.1,37.78,0.0,91.37,2.71
230,,,0.0,0.02,1512.0,2.94,34.575,131.65,37.83,0.0,107.13,2.74
239,0.02,0.15,0.0,,20.0,25.59,35.93,219.7,3.165,0.07,1.95,0.43
240,0.01,0.15,0.0,,40.0,25.59,35.93,218.3,3.15,0.07,1.85,0.435
241,0.02,0.22,0.0,,55.0,24.91,36.02,222.7,2.85,0.06,1.71,0.425
242,0.01,0.07,0.0,,70.0,24.53,36.09,221.3,1.565,0.04,1.465,0.36
243,0.04,0.16,,,111.0,23.79,36.33,209.7,0.27,0.09,1.315,0.355
244,0.05,0.15,0.0,,180.0,20.21,35.77,198.5,3.66,0.06,1.17,0.52
245,0.07,0.19,,,227.0,17.59,35.29,180.4,8.72,0.025,2.34,0.885
246,0.06,0.54,,,292.0,12.13,34.64,103.6,21.9,0.0,14.74,2.05
247,0.02,1.71,,,352.0,10.7,34.67,17.5,30.775,0.0,25.77,2.65
248,0.03,0.8,,,1009.0,4.53,34.51,95.9,40.515,0.0,74.78,2.84
249,0.01,0.19,0.0,,30.0,26.31,36.02666667,215.7,2.405,0.05,1.12,0.355
250,,,,,60.0,26.22666667,36.02333333,215.5333333,2.355,0.04,1.17,0.36
251,0.04,0.15,,,86.0,25.41,36.00666667,219.16666669999998,2.175,0.04,1.075,0.37
252,,,0.235,,1007.0,4.336666667,34.52,98.16666667,39.89,0.0,76.97,2.81
253,,,0.16,,1259.0,3.465,34.55,113.65,39.02,0.0,95.66,2.795
254,,,0.07,,1765.0,2.535,34.61,134.75,37.64,0.0,118.5,2.715
265,0.0,0.11,0.0,,20.0,26.62666667,36.07,214.56666669999998,2.31,0.04,1.415,0.36
266,0.0,0.13,0.0,,45.0,26.56,36.10333333,215.7,2.31,0.04,1.27,0.375
