STNNBR,lat,lon,GEOTRC_SAMPNO,depth,HgT_pM,HgT_flag,Hg0_pM,Hg0_flag,MMHg_pM,MMHg_flag,DMHg_pM,DMHg_flag
9,-12.00,-89.00,3440,400,1.31,2,0.04,2,,9,,9
9,-12.00,-89.00,3439,400,,9,,9,0.09,2,0.07,2
9,-12.00,-89.00,3438,450,1.26,2,0.02,2,,9,,9
9,-12.00,-89.00,3437,450,,9,,9,0.07,2,0.11,2
9,-12.00,-89.00,3436,500,1.45,2,0.04,2,,9,,9
9,-12.00,-89.00,3435,500,,9,,9,0.20,2,0.07,2
9,-12.00,-89.00,3434,625,1.44,2,0.04,2,,9,,9
9,-12.00,-89.00,3433,625,,9,,9,0.07,2,0.08,2
9,-12.00,-89.00,3432,750,1.20,2,0.04,2,,9,,9
9,-12.00,-89.00,3431,750,,9,,9,0.13,2,0.32,2
9,-12.00,-89.00,3430,1000,1.26,2,0.01,2,,9,,9
9,-12.00,-89.00,3429,1000,,9,,9,0.11,2,0.07,2
9,-12.00,-89.00,3428,1250,1.13,2,0.03,2,,9,,9
9,-12.00,-89.00,3427,1250,,9,,9,0.11,2,0.08,2
9,-12.00,-89.00,3426,1500,1.22,2,0.02,2,,9,,9
9,-12.00,-89.00,3425,1500,,9,,9,0.02,2,0.05,2
9,-12.00,-89.00,3424,1750,1.12,2,0.03,2,,9,,9
9,-12.00,-89.00,3423,1750,,9,,9,0.05,2,0.06,2
9,-12.00,-89.00,3422,2000,1.01,2,0.03,2,,9,,9
9,-12.00,-89.00,3421,2000,,9,,9,0.07,2,0.07,2
9,-12.00,-89.00,3334,2250,1.03,2,0.01,2,,9,,9
9,-12.00,-89.00,3420,2250,,5,0.03,2,,9,,9
9,-12.00,-89.00,3333,2250,,9,,9,0.09,2,0.11,2
9,-12.00,-89.00,3419,2250,,9,,9,,5,0.10,2
9,-12.00,-89.00,3332,2500,1.34,2,0.05,2,,9,,9
