STNNBR,depth,lat,lon,HgT_pM,Hg0_pM,MMHg_pM,DMHg_pM,SILCAT,NITRAT,NITRIT,PHSPHT,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM
10,250,-12,-91.5,0.72,0.02,0.09,0.03,29.08,31.525,0,2.57,251,11.14,34.79,8.3,4.81,0.02
10,400,-12,-91.5,1.21,0,0.21,0.3,36.21,38.2,0,2.725,402,8.98,34.66,14.6,4.81,0.02
11,40,-12,-94,0.14,0,0.06,0,3.27,9.405,0.34,0.86,40,20.94333333,35.47333333,238.9666667,4.7,0.233333333
11,75,-12,-94,0.13,0,0.03,0,2.585,6.6,0.41,0.8,75,19.98333333,35.55,233.4,4.76,0.236666667
11,110,-12,-94,0.15,0,0.04,0,2.39,7.025,0.96,0.855,110,18.30666667,35.32,209,4.783333333,0.076666667
11,130,-12,-94,0.17,0,0.04,0.07,4.93,14.33,0.04,1.3,130,15.95,35.01333333,157.9666667,4.796666667,0.043333333
11,180,-12,-94,0.41,0.03,0.04,0.04,22.15,20.55,0.02,2.575,181,12.92,34.80333333,17.16666667,4.81,0.023333333
11,260,-12,-94,0.66,0.03,0.08,0.06,27.33,27.115,0,2.64,261,11.18,34.77,6.9,4.81,0.02
11,320,-12,-94,0.645,0.01,0.06,0.055,30.795,33.89,0,2.625,321,10.24,34.73,9.233333333,4.81,0.02
11,500,-12,-94,0.81,0.01,0.06,0.02,40.75,41.175,0,2.87,503,7.57,34.575,30.65,4.815,0.02
11,1750,-12,-94,0.66,0.025,0.03,0.07,129.14,39.355,0,2.88,1766,2.535,34.62,113.4,4.84,0.02
11,2000,-12,-94,0.84,0,0.07,0.06,137.73,38.5,0,2.83,2019,2.25,34.64,123.6,4.84,0.02
11,2500,-12,-94,0.97,0.11,0.09,0.12,135.965,36.295,0,2.65,2527,1.86,34.66,155.1,4.84,0.01
11,3500,-12,-94,1.4,0.05,0.1,0.25,141.575,36.305,0,2.65,3546,1.8,34.68,161.3,4.84,0.01
11,3645,-12,-94,1.45,0.03,0.14,0.22,142.065,36.315,0,2.65,3695,1.81,34.68,161.5,4.84,0.01
12,25,-13,-96.5,0.19,0.01,0.04,0,2.88,6.38,0.2,0.665,25,21.44,35.57,235.5,4.72,0.31
12,50,-13,-96.5,0.21,0.02,0.06,0,1.61,1.72,0.23,0.525,50,20.4,35.74,227.2,4.71,0.45
12,120,-13,-96.5,0.14,0.05,0.04,0,1.22,1.545,0.475,0.495,120,19.92,35.76,227.8,4.8,0.07
12,160,-13,-96.5,0.22,0.02,0.1,0,3.12,10.34,0.065,0.995,161,16.37,35.07,178.6,4.81,0.04
13,20,-14,-99,0.13,0.01,0.04,0,1.61,3.035,0.1,0.49,20,21.33,35.74666667,237.3,4.7,0.203333333
13,60,-14,-99,0.16,0.01,,0,1.32,1.93,0.07,0.445,60,21.17333333,35.79333333,237.1666667,4.716666667,0.283333333
