STNNBR,depth,lat,lon,HgP_pmol_ug,MMHgP_pmol_ug,POC_umolC_L,HgT_pM,Hg0_pM,MMHg_pM,DMHg_pM,SILCAT,NITRAT,NITRIT,PHSPHT,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM
18,2350,-14.98,-112.75,0.07,0.0,0.06,,,0.1,0.08,126.87166670000002,35.38666667,0.0,2.525,2375.0,1.8666666669999998,34.66,166.66666669999998,4.836666667,0.01
18,2400,-14.98,-112.75,0.11,0.0,0.07,,,0.0,0.07,129.1575,35.3075,0.0,2.5325,2426.0,1.855,34.66,167.25,4.825,0.01
18,2500,-14.98,-112.75,0.09,0.0,0.05,,,,0.1,131.99,35.4125,0.0,2.555,2527.0,1.84,34.67,167.0,4.83,0.01
18,2550,-14.98,-112.75,0.15,0.0,0.06,,,0.0,0.04,132.16,35.295,0.0,2.555,2578.0,1.84,34.67,166.7,4.83,0.01
20,2001,-15.0,-113.5,,0.0,0.1,0.81,0.01,,,127.77,36.995,0.0,2.665,2020.0,2.125,34.64,142.45,4.835,0.015
20,2200,-15.0,-113.5,0.01,0.0,0.03,1.0,0.03,,0.02,126.65,35.84,0.0,2.57,2222.0,1.935,34.65,159.6,4.84,0.015
20,2250,-15.0,-113.5,0.02,0.0,0.06,,,0.0,0.09,126.155,35.395,0.0,2.53,2273.0,1.9,34.65,164.15,4.84,0.015
20,2400,-15.0,-113.5,0.06,0.0,0.04,0.81,0.01,,0.0,127.675,35.03,0.0,2.5,2426.0,1.855,34.66,167.85,4.83,0.015
20,2450,-15.0,-113.5,0.06,0.0,0.07,0.78,0.03,0.0,0.01,129.2325,35.1,0.0,2.5075,2476.0,1.85,34.66,168.0,4.83,0.015
20,2500,-15.0,-113.5,0.09,0.0,0.04,0.75,0.01,0.15,0.0,130.015,35.085,0.0,2.525,2527.0,1.85,34.66,168.1,4.83,0.015
20,2550,-15.0,-113.5,0.04,0.0,0.07,,,0.0,0.03,130.21,35.105,0.0,2.53,2578.0,1.84,34.67,168.4,4.83,0.015
20,2650,-15.0,-113.5,0.04,0.0,0.05,0.87,0.02,0.0,0.02,130.895,35.19,0.0,2.535,2680.0,1.835,34.67,169.3,4.835,0.015
20,2700,-15.0,-113.5,0.06,0.0,0.04,,,0.0,0.04,130.89,35.14,0.0,2.535,2731.0,1.83,34.67,170.15,4.835,0.015
20,2799,-15.0,-113.5,0.04,0.0,0.05,0.99,0.02,,,130.89,35.135,0.0,2.54,2832.0,1.825,34.67,172.0,4.84,0.015
20,2899,-15.0,-113.5,0.03,0.0,0.03,1.15,0.03,,,130.405,35.03,0.0,2.52,2933.0,1.82,34.67,173.6,4.83,0.01
21,20,-14.77,-115.0,0.0,0.0,1.55,,,,0.0,1.61,3.165,0.07,0.42,20.0,24.61666667,35.91666667,222.8,4.7133333330000005,0.123333333
21,90,-14.77,-115.0,0.0,0.0,0.57,0.34,0.01,,0.0,1.315,0.61,0.05,0.36,90.0,23.14333333,36.19333333,220.16666669999998,4.743333333,0.246666667
21,225,-14.77,-115.0,0.01,0.0,0.18,0.32,0.02,,0.0,1.805,7.155,0.02,0.73,226.0,17.84333333,35.31333333,190.7666667,4.8,0.02
21,1250,-14.77,-115.0,0.0,0.0,0.06,,,,0.04,95.37,38.95,0.0,2.75,1259.0,3.59,34.55,111.1,4.83,0.02
21,2000,-14.77,-115.0,0.0,0.0,0.05,,,,0.04,121.085,36.11,0.0,2.575,2019.0,2.125,34.63,153.45,4.84,0.02
21,2450,-14.77,-115.0,0.02,0.0,0.04,,,,0.02,128.5,35.36,0.0,2.53,2476.0,1.85,34.66,168.25,4.84,0.02
23,75,-14.0,-120.0,0.0,0.0,0.97,0.15,0.0,,0.0,1.22,1.06,0.02,0.3,75.0,24.38666667,36.16666667,224.43333330000002,4.7466666669999995,0.193333333
23,121,-14.0,-120.0,0.0,0.0,0.56,0.15,0.01,,,1.22,0.03,0.105,0.295,121.0,23.36,36.32333333,212.0333333,4.776666667,0.136666667
23,1500,-14.0,-120.0,,,0.05,,,0.02,0.0,107.13,37.83,0.0,2.74,1512.0,2.94,34.575,131.65,4.83,0.02
23,2400,-14.0,-120.0,0.0,0.0,0.03,,,0.03,0.06,130.305,35.555,0.0,2.58,2425.0,1.85,34.66,165.25,4.84,0.02
23,2450,-14.0,-120.0,0.0,0.0,0.03,,,,0.07,130.7,35.45,0.0,2.57,2476.0,1.835,34.66,166.15,4.84,0.02
