Year,STNNBR,LATITUDE,LONGITUDE,CTDDEPTH,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W
2010,9,17.36,-18.25,797,22.35,2,34.37,2,0.00,2,2.22,2
2010,9,17.36,-18.25,797,22.25,2,33.97,2,0.00,2,2.21,2
2010,9,17.36,-18.25,1095,23.52,2,29.63,2,0.00,2,1.97,2
2010,9,17.36,-18.25,1095,23.42,2,29.66,2,0.00,2,1.98,2
2010,9,17.36,-18.25,1236,23.71,2,27.56,2,0.00,2,1.85,2
2010,9,17.36,-18.25,1236,23.52,2,27.59,2,0.00,2,1.85,2
2010,9,17.36,-18.25,1385,23.32,2,25.40,2,0.00,2,1.73,2
2010,9,17.36,-18.25,1385,23.52,2,25.42,2,0.00,2,1.73,2
2010,9,17.36,-18.25,1538,23.13,2,24.00,2,0.00,2,1.63,2
2010,9,17.36,-18.25,1538,23.32,2,23.99,2,0.00,2,1.63,2
2010,9,17.36,-18.25,1787,24.40,2,22.55,2,0.00,2,1.54,2
2010,9,17.36,-18.25,1787,24.20,2,22.56,2,0.00,2,1.54,2
2010,9,17.36,-18.25,1883,24.59,2,22.20,2,0.00,2,1.51,2
2010,9,17.36,-18.25,1883,24.88,2,22.21,2,0.00,2,1.52,2
2010,9,17.36,-18.25,2088,27.23,2,21.75,2,0.00,2,1.49,2
2010,9,17.36,-18.25,2088,27.03,2,21.75,2,0.00,2,1.49,2
2010,9,17.36,-18.25,2294,29.28,2,21.60,2,0.00,2,1.47,2
2010,9,17.36,-18.25,2294,29.18,2,21.57,2,0.00,2,1.47,2
2010,9,17.36,-18.25,2585,33.28,2,21.54,2,0.00,2,1.47,2
2010,9,17.36,-18.25,2585,32.98,2,21.52,2,0.00,2,1.48,2
2010,9,17.36,-18.25,2900,38.65,2,21.80,2,0.00,2,1.52,2
2010,9,17.36,-18.25,2900,38.55,2,21.80,2,0.00,2,1.51,2
2010,9,17.36,-18.25,2999,41.67,2,22.05,2,0.00,2,1.54,2
2010,9,17.36,-18.25,2999,41.87,2,21.99,2,0.00,2,1.53,2
2010,10,17.35,-20.82,32,0.39,2,0.00,2,0.01,2,0.04,2
2010,10,17.35,-20.82,32,0.49,2,0.01,2,0.00,2,0.03,2
2010,10,17.35,-20.82,51,3.90,2,16.03,2,0.44,2,1.13,2
2010,10,17.35,-20.82,51,4.00,2,16.26,2,0.44,2,1.17,2
2010,10,17.35,-20.82,85,6.83,2,24.72,2,0.03,2,1.53,2
2010,10,17.35,-20.82,85,6.93,2,24.64,2,0.03,2,1.52,2
2010,10,17.35,-20.82,101,7.61,2,25.09,2,0.02,2,1.56,2
2010,10,17.35,-20.82,101,7.80,2,25.14,2,0.02,2,1.56,2
2010,10,17.35,-20.82,141,8.39,2,24.56,2,0.01,2,1.53,2
2010,10,17.35,-20.82,141,8.29,2,24.48,2,0.01,2,1.52,2
2010,10,17.35,-20.82,186,9.27,2,25.77,2,0.01,2,1.61,2
2010,10,17.35,-20.82,186,9.27,2,25.78,2,0.01,2,1.62,2
2010,10,17.35,-20.82,235,9.76,2,26.57,2,0.00,2,1.65,2
2010,10,17.35,-20.82,235,9.66,2,26.52,2,0.01,2,1.65,2
2010,10,17.35,-20.82,291,10.93,2,28.90,2,0.01,2,1.77,2
2010,10,17.35,-20.82,291,10.83,2,28.93,2,0.01,2,1.76,2
2010,10,17.35,-20.82,421,13.66,2,32.35,2,0.00,2,1.97,2
2010,10,17.35,-20.82,421,13.85,2,32.28,2,0.00,2,1.96,2
2010,10,17.35,-20.82,499,15.51,2,33.51,2,0.00,2,2.09,2
2010,10,17.35,-20.82,499,15.81,2,33.49,2,0.00,2,2.06,2
2010,10,17.35,-20.82,665,19.81,2,34.84,2,0.00,2,2.33,2
2010,10,17.35,-20.82,665,20.30,2,34.83,2,0.00,2,2.28,2
2010,10,17.35,-20.82,800,22.93,2,34.73,2,0.00,2,2.28,2
