Year,sta,depth,lat,lon,Hg_total,Hg_total_flag,Hg0,Hg0_flag,MMHg_fM,MMHg_flag,DMHg_fM,DMHg_flag
2010,10,2,17.35,-20.82,0.09,3,0.10,2,,4,40.00,4
2010,10,32,17.35,-20.82,0.84,2,0.08,3,19.00,2,27.00,4
2010,10,51,17.35,-20.82,0.47,2,0.12,2,18.00,2,,4
2010,10,85,17.35,-20.82,1.22,2,0.30,2,41.00,2,,4
2010,10,101,17.35,-20.82,1.17,2,0.13,3,,4,52.00,4
2010,10,141,17.35,-20.82,0.88,2,0.14,3,,4,,4
2010,10,186,17.35,-20.82,1.16,2,0.46,2,33.00,2,79.00,4
2010,10,235,17.35,-20.82,1.19,2,0.53,2,54.00,2,,4
2010,10,291,17.35,-20.82,1.23,2,0.55,2,84.00,2,,4
2010,10,421,17.35,-20.82,1.20,2,0.64,2,56.00,2,,4
2010,10,499,17.35,-20.82,0.99,5,0.60,2,47.00,2,,4
2010,10,665,17.35,-20.82,0.86,2,0.58,2,38.00,2,,4
2010,10,800,17.35,-20.82,0.79,2,0.58,2,35.00,2,,4
2010,10,964,17.35,-20.83,0.84,2,0.48,2,31.00,2,,4
2010,10,1100,17.35,-20.83,1.15,2,0.44,2,35.00,2,,4
2010,10,1249,17.35,-20.83,1.06,2,0.35,2,31.00,2,,4
2010,10,1498,17.35,-20.83,0.63,2,0.36,2,31.00,2,,4
2010,10,1750,17.35,-20.83,0.76,2,0.32,2,31.00,2,27.00,4
2010,10,1999,17.35,-20.83,0.99,2,0.33,2,31.00,2,53.00,4
2010,10,2249,17.35,-20.83,0.62,2,0.32,2,22.00,2,,4
2010,10,2499,17.35,-20.83,1.01,2,0.30,2,47.00,2,,4
2010,10,2698,17.35,-20.83,0.99,2,0.30,2,73.00,2,,4
2010,10,2999,17.35,-20.83,1.05,2,0.32,2,26.00,2,,4
2010,10,3278,17.35,-20.83,,2,0.39,2,,4,,4
2010,10,3321,17.35,-20.83,,2,0.45,2,25.00,2,,4
2010,11,2,17.35,-22.78,0.13,2,0.03,2,,4,,4
2010,11,30,17.35,-22.78,0.80,2,0.06,2,21.00,2,,4
2010,11,62,17.35,-22.78,0.81,3,0.04,2,17.00,2,79.00,4
2010,11,85,17.35,-22.78,0.74,2,0.18,2,29.00,2,,4
2010,11,136,17.35,-22.78,0.62,2,0.26,2,41.00,2,388.00,4
2010,11,180,17.35,-22.78,0.74,3,0.31,2,48.00,2,310.00,4
2010,11,200,17.35,-22.78,0.70,2,0.29,2,56.00,2,,4
2010,11,250,17.35,-22.78,0.89,2,0.46,2,63.00,2,160.00,4
2010,11,301,17.35,-22.78,0.99,2,0.40,2,72.00,2,,4
