Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT,HgP_pmol_ug,MMHgP_pmol_ug,POC_ugram_L
2010,12,72,17.4,-24.5,0.8,0.07,,,72.0,22.4051,36.8213,181.65,4.58995,0.2285,0.8300000000000001,1.725,0.2,0.22,0.001206368,0.001608491,11.2375
2010,12,90,17.4,-24.5,0.9,0.1,,,90.5,20.8353,36.738,156.575,4.615175,0.12375,1.51,5.970000000000001,0.08,0.43,0.00153024,0.069880952,8.3799
2010,12,135,17.4,-24.5,0.73,0.17,46.0,,136.0,18.43445,36.58905,147.1,4.6388,0.0395,2.34,9.254999999999999,0.02,0.565,,,
2010,12,185,17.4,-24.5,0.59,,,,186.0,16.2494,36.1759,114.45,4.6467,0.004,-497.015,-491.135,-499.5,-499.0,0.004112646,0.024144462999999998,3.3616
2010,12,235,17.4,-24.5,0.99,0.26,60.0,,237.0,14.68305,35.891999999999996,96.3,4.6495,0.005,6.83,21.384999999999998,0.0,1.29,0.004449177,0.002966118,2.3521
2010,12,286,17.4,-24.5,1.33,0.33,116.0,,288.0,13.4152,35.67935,81.0,4.6503,0.006,8.975000000000001,25.189999999999998,0.0,1.51,,,
2010,12,451,17.4,-24.5,0.61,0.39,128.0,,455.0,10.7935,35.3206,71.2,4.656000000000001,0.006999999999999999,13.46,30.395,0.0,1.8450000000000002,0.002958487,0.556195465,2.8309
2010,12,601,17.4,-24.5,0.6,0.27,110.0,,606.0,8.6514,35.05245,83.9,4.6629,0.0065,17.76,32.39,0.0,2.045,0.00250015,0.9400564029999999,2.5062
2010,12,801,17.4,-24.5,0.98,0.31,,82.0,808.0,6.98895,34.9286,99.5,4.66655,0.006999999999999999,22.3,33.35,0.0,2.17,,,
2010,12,1499,17.4,-24.5,0.68,0.05,45.0,53.0,1515.0,4.4319999999999995,35.0005,199.6,4.6745,0.005,23.174999999999997,23.79,0.0,1.62,,,
2010,12,1999,17.4,-24.5,0.53,0.15,52.0,56.0,2023.0,3.5591,34.9719,229.1,4.6762,0.005,25.564999999999998,21.575,0.005,1.475,0.003123907,0.223359324,0.9872
2010,12,2499,17.4,-24.5,0.57,0.09,21.0,,2533.0,3.0821,34.9516,237.3,4.6789,0.005,30.94,21.15,0.005,1.45,,,
2010,12,2998,17.4,-24.5,0.92,0.07,27.0,,3042.0,2.7452,34.9296,241.2,4.6801,0.005,35.86,21.115000000000002,0.0,1.44,0.00449796,0.18666534699999998,0.6543
2010,12,3498,17.4,-24.5,,0.21,84.0,,3553.0,2.5534,34.9124,238.3,4.6783,0.005,41.82,21.76,0.0,1.47,0.0029544890000000002,,0.7076
2011,1,30,39.7,-69.8,0.54,0.13,,0.0,30.0,19.40015,35.0914,223.8,4.5716,0.4135,0.78,0.635,0.1,0.065,0.001913451,0.0041117935000000005,35.388949499999995
2011,1,135,39.7,-69.8,0.78,0.4,,131.0,136.0,14.04715,35.80035,145.8,4.69445,0.0075,6.54,16.01,0.0,1.005,,0.015669354,4.9189
2011,2,35,39.35,-69.54,0.99,0.34,0.0,23.0,35.0,19.88165,35.22595,222.75,4.583,0.322,0.98,0.29000000000000004,0.06,0.035,0.002166496,0.0,43.5039
2011,2,70,39.35,-69.54,1.19,0.52,0.0,58.0,70.0,17.559,35.8459,165.3,4.67035,0.0525,4.19,11.02,0.02,0.61,0.002517631,0.001258815,8.9223
2011,2,965,39.35,-69.54,1.06,0.5,0.0,0.0,974.0,4.2385,34.9691,259.9,4.7209,0.005,11.32,17.605,0.0,1.165,0.004007767,0.01703301,2.3193
2011,3,28,38.67,-69.1,1.34,0.45,92.0,9.0,28.0,25.21765,36.07635,203.05,4.63445,0.1065,0.635,0.0,0.0,0.02,0.0019188529999999999,0.001096487,20.0762
2011,3,1500,38.67,-69.1,0.93,0.49,236.0,227.0,1515.0,3.9218,34.9612,262.8,4.72,0.005,12.2,17.535,0.0,1.17,,,
2011,3,2100,38.67,-69.1,1.08,0.45,277.0,239.0,2125.0,3.3973,34.9437,267.0,4.7233,0.005,15.03,17.41,0.0,1.1749999999999998,0.004376262,0.328219671,0.8511639999999999
2011,6,90,37.61,-68.39,0.9,0.3,2.0,36.0,90.0,23.2796,35.8104,207.7333333,4.621733333,0.141333333,0.73,0.005,0.02,0.0,,,
2011,8,65,35.42,-66.52,1.33,0.28,,8.0,65.0,22.826,36.34125,208.95,4.6387,0.0925,0.24,0.005,0.0,0.0,0.001722929,,11.9611
2011,8,185,35.42,-66.52,0.84,0.34,,24.0,186.0,18.7066,36.6039,188.25,4.6906,0.005,0.925,4.470000000000001,0.0,0.185,,,
2011,8,1500,35.42,-66.52,0.75,0.43,,93.0,1516.0,4.2941,34.9784,256.6,4.7172,0.005,11.81,17.68,0.0,1.165,,,
2011,10,40,31.75,-64.17,0.66,0.19,,,40.0,24.026025,36.573925,209.7,4.650525,0.04775,0.29,0.0,0.0,0.025,0.004021656,,12.1837
2011,10,135,31.75,-64.17,0.67,0.37,,,136.0,19.130975,36.630575,201.525,4.67915,0.03925,0.33999999999999997,0.785,0.025,0.0,,,
2011,10,1800,31.75,-64.17,1.21,0.48,155.0,,1821.0,3.80245,34.96555,262.8,4.7192,0.0045,12.88,17.625,0.0,1.19,0.003752514,0.052535199000000005,0.8272
2011,11,60,30.82,-60.78,1.67,0.21,9.0,,60.0,24.6379,36.6413,207.5,4.6513,0.037000000000000005,0.14500000000000002,0.0,0.0,0.0,0.000703363,0.004923544,15.4087
2011,12,421,29.7,-56.82,1.06,0.44,0.0,34.0,424.0,16.86,36.3554,199.6,4.6916,0.003,1.66,6.325,0.0,0.33,0.008304521,0.0013840870000000002,2.2314
2011,14,185,27.58,-49.63,0.56,0.28,,,186.0,18.67295,36.6336,190.55,4.6879,0.0105,0.58,2.99,0.0,0.095,0.003069231,,3.0197
2011,14,235,27.58,-49.63,0.54,0.24,,155.0,237.0,18.02405,36.55315,191.5,4.6905,0.0035,0.925,4.54,0.0,0.195,0.000882082,,4.3699
2011,14,430,27.58,-49.63,0.65,0.3,,28.0,433.0,16.04955,36.20605,187.6,4.69635,0.0035,2.29,8.275,0.0,0.46499999999999997,0.00165001,,1.5442
