Year,station_GEOTRC,depth_n,lat,lon,HgP_pmol_ug,HgP_flag,MMHgP_pmol_ug,MMHgP_flag,POC_ugram_L,POC_sink_flag,POC_susp_flag
2011,24,137,17.4,-24.5,0.005519672,2,0.013247212,2,4.689,1,1
2011,24,186,17.4,-24.5,,2,,2,,1,1
2011,24,236,17.4,-24.5,0.004282189,2,0.015415882,2,4.805,1,1
2011,24,449,17.4,-24.5,,2,,2,,1,1
2011,24,599,17.4,-24.5,0.003826677,2,0.099493603,2,2.0462,1,1
2011,24,800,17.4,-24.5,0.002748737,2,0.046728522,2,1.5843,1,1
2011,24,1080,17.4,-24.5,0.004456374,2,0.053476492,2,1.6647,1,1
2011,24,1500,17.4,-24.5,0.002894691,2,0.023157529,2,1.3632,4,1
2011,24,2000,17.4,-24.5,,2,,4,,1,1
2011,24,2500,17.4,-24.5,0.003561647,2,0.019589057,2,0.8069,1,1
2011,24,3000,17.4,-24.5,,2,,2,,1,1
2011,24,3252,17.4,-24.5,0.004049616,2,0.060744238,2,0.6552,1,1
2011,24,3498,17.4,-24.5,0.003390078,2,0.015255349,2,1.2676,1,1
