Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT
2010,3,301,35.2,-16,0.29,0.23,69,,303,13.4473,35.83265,203.65,4.6558,0.0015,3.61,9.82,0,0.61
2010,3,401,35.2,-16,0.64,0.24,65,,404,12.65765,35.7287,202.2,4.65895,0.0025,4,10.94,0,0.68
2010,3,401,35.2,-16,0.64,0.24,65,,404,12.65765,35.7287,202.2,4.65895,0.0025,4,10.95,0,0.68
2010,3,490,35.2,-16,0.04,0.32,110,0.24,494,11.93175,35.6392,190.05,4.66055,0.003,5.46,13.77,0,0.85
2010,3,490,35.2,-16,0.04,0.32,110,0.24,494,11.93175,35.6392,190.05,4.66055,0.003,5.36,13.72,0,0.86
2010,3,611,35.2,-16,,0.37,150,,616,11.06165,35.586,181.65,4.6636,0.004,7.12,15.91,0,0.99
2010,3,611,35.2,-16,,0.37,150,,616,11.06165,35.586,181.65,4.6636,0.004,7.22,15.91,0,0.99
2010,3,777,35.2,-16,1.74,0.39,215,,784,10.6057,35.7243,177.95,4.6661,0.0035,9.17,17.02,0,1.08
2010,3,777,35.2,-16,1.74,0.39,215,,784,10.6057,35.7243,177.95,4.6661,0.0035,9.07,16.98,0,1.07
2010,3,876,35.2,-16,0.38,0.47,192,,884,10.373,35.81245,178.9,4.6673,0.0035,9.75,16.94,0,1.08
2010,3,876,35.2,-16,0.38,0.47,192,,884,10.373,35.81245,178.9,4.6673,0.0035,9.85,16.81,0,1.08
2010,3,994,35.2,-16,0.17,,146,0.27,1004,10.234,35.9047,180.7,4.6679,0.004,10.53,16.64,0,1.05
2010,3,994,35.2,-16,0.17,,146,0.27,1004,10.234,35.9047,180.7,4.6679,0.004,10.43,16.67,0,1.06
2010,3,1051,35.2,-16,0.8,,94,0.47,1061,10.2017,35.9535,182.9,4.6678,0.003,10.92,16.82,0,1.07
2010,3,1051,35.2,-16,0.8,,94,0.47,1061,10.2017,35.9535,182.9,4.6678,0.003,10.92,16.81,0,1.07
2010,3,1201,35.2,-16,0.86,,,0.1,1213,9.0833,35.8218,191.4,4.669,0.004,11.9,17.16,0,1.11
2010,3,1201,35.2,-16,0.86,,,0.1,1213,9.0833,35.8218,191.4,4.669,0.004,11.8,17.16,0,1.11
2010,3,1351,35.2,-16,0.21,,65,0.47,1365,7.9878,35.673,205.2,4.6707,0.003,12.68,17.35,0,1.14
2010,3,1351,35.2,-16,0.21,,65,0.47,1365,7.9878,35.673,205.2,4.6707,0.003,12.68,17.36,0,1.13
2010,3,1501,35.2,-16,0.08,,61,,1518,6.8528,35.5033,217.4,4.6727,0.004,13.56,17.37,0,1.14
2010,3,1501,35.2,-16,0.08,,61,,1518,6.8528,35.5033,217.4,4.6727,0.004,13.56,17.34,0,1.14
2010,3,1701,35.2,-16,0.94,,,,1721,5.3745,35.2643,235.5,4.674,0.004,14.93,17.65,0,1.18
2010,3,1701,35.2,-16,0.94,,,,1721,5.3745,35.2643,235.5,4.674,0.004,14.83,17.66,0,1.18
2010,3,1901,35.2,-16,0.89,,,,1924,4.6187,35.1623,241.4,4.6752,0.004,17.56,18.08,0,1.22
2010,3,1901,35.2,-16,0.89,,,,1924,4.6187,35.1623,241.4,4.6752,0.004,17.56,18.09,0,1.22
2010,3,2101,35.2,-16,0.65,,51,,2127,4.1114,35.0963,244.3,4.6764,0.004,20.98,18.59,0,1.26
2010,3,2101,35.2,-16,0.65,,51,,2127,4.1114,35.0963,244.3,4.6764,0.004,20.98,18.59,0,1.25
2010,3,2300,35.2,-16,0.62,,34,,2330,3.662,35.0398,246.6,4.6775,0.004,24.2,19.02,0,1.3
2010,3,2300,35.2,-16,0.62,,34,,2330,3.662,35.0398,246.6,4.6775,0.004,24.2,18.98,0,1.3
