Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT,HgP_pmol_ug,HgP_flag,MMHgP_pmol_ug,MMHgP_flag,POC_ugram_L,POC_sink_flag,POC_susp_flag
2010,8,35,21,-22,0.85,0.06,23,,35,26.1932,36.8235,203,4.5954,0.044,0.58,0.01,0,0.05,0.001712576,2,,2,14.6873,1,1
2010,8,35,21,-22,0.85,0.06,23,,35,26.1932,36.8235,203,4.5954,0.044,0.49,0.01,0,0.04,0.001712576,2,,2,14.6873,1,1
2010,8,111,21,-22,0.63,0.15,39,,112,19.387,36.6914,150.9,4.6296,0.067,1.46,3.85,0.08,0.3,0.001891198,2,,4,9.5519,1,1
2010,8,111,21,-22,0.63,0.15,39,,112,19.387,36.6914,150.9,4.6296,0.067,1.36,4.06,0.08,0.3,0.001891198,2,,4,9.5519,1,1
2010,8,186,21,-22,0.62,0.17,41,,187,16.7762,36.3492,144.6,4.6471,0.004,3.41,11.08,0.01,0.67,,2,,4,,1,1
2010,8,186,21,-22,0.62,0.17,41,,187,16.7762,36.3492,144.6,4.6471,0.004,3.31,11.05,0.01,0.68,,2,,4,,1,1
2010,8,285,21,-22,0.78,0.21,,,287,14.5673,35.9633,129.8,4.6498,0.004,5.46,15.84,0,0.96,0.003241165,2,,4,2.8691,1,1
2010,8,285,21,-22,0.78,0.21,,,287,14.5673,35.9633,129.8,4.6498,0.004,5.27,15.81,0.01,0.96,0.003241165,2,,4,2.8691,1,1
2010,9,28,17.35,-18.25,0.58,0.09,17,14,28,27.94185,35.766,199.05,4.5831,0.0425,0.88,0,0,0.04,0.001482128,2,0.013932006,2,19.5943,1,1
2010,9,28,17.35,-18.25,0.58,0.09,17,14,28,27.94185,35.766,199.05,4.5831,0.0425,0.98,0,0,0.03,0.001482128,2,0.013932006,2,19.5943,1,1
2010,9,49,17.35,-18.25,,0.11,23,,49,19.7874,36.0085,132.05,4.5257,0.3835,2.44,5.55,0.36,0.7,0.001016612,2,,4,15.3094,1,1
2010,9,49,17.35,-18.25,,0.11,23,,49,19.7874,36.0085,132.05,4.5257,0.3835,2.54,5.47,0.35,0.68,0.001016612,2,,4,15.3094,1,1
2010,9,89,17.35,-18.25,0.66,0.24,20,,89,15.50455,35.69895,52.6,4.627,0.075,6.92,23.28,0.03,1.52,0.002228198,2,,4,7.1179,1,1
2010,9,89,17.35,-18.25,0.66,0.24,20,,89,15.50455,35.69895,52.6,4.627,0.075,6.92,23.29,0.03,1.52,0.002228198,2,,4,7.1179,1,1
2010,9,135,17.35,-18.25,0.72,0.39,41,,136,14.12645,35.5779,65.2,4.64065,0.008,8.19,24.39,0,1.57,0.00251234,2,0.110542973,2,6.1399,1,1
2010,9,135,17.35,-18.25,0.72,0.39,41,,136,14.12645,35.5779,65.2,4.64065,0.008,8.19,24.43,0,1.57,0.00251234,2,0.110542973,2,6.1399,1,1
2010,9,185,17.35,-18.25,0.78,0.42,,,186,13.3025,35.49355,61.85,4.64245,0.0065,9.17,25.87,0,1.64,0.002339759,2,,4,6.1189,1,1
2010,9,185,17.35,-18.25,0.78,0.42,,,186,13.3025,35.49355,61.85,4.64245,0.0065,9.17,25.91,0,1.64,0.002339759,2,,4,6.1189,1,1
2010,9,665,17.35,-18.25,1.05,0.56,54,,671,8.38155,35.03815,71.5,4.6606,0.007,19.32,34.1,0,2.17,0.00280851,2,0.261191445,2,3.4114,4,1
