STNNBR,LATITUDE,LONGITUDE,GEOTRC_SAMPNO,CTDPRS,CTDDEPTH,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W
4,65.8023,-168.6021,-999,45.6,45,5.4061,32.4543,2,-999,9,301.9,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,-999,45.6,45,5.4061,32.4543,2,-999,9,301.9,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,-999,47.3,47,5.4071,32.454,2,-999,9,301.6,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,-999,47.3,47,5.4071,32.454,2,-999,9,301.6,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,-999,49,49,5.4032,32.455,2,-999,9,301.5,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,-999,49,49,5.4032,32.455,2,-999,9,301.5,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,10607,49.4,49,5.4041,32.4547,2,-999,9,301.8,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,10606,49.4,49,5.4041,32.4547,2,-999,9,301.8,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,-999,13.7,14,5.4537,32.449,2,-999,9,314.2,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,-999,13.7,14,5.4537,32.449,2,-999,9,314.2,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,-999,15,15,5.4526,32.4506,2,-999,9,310.1,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,-999,15,15,5.4526,32.4506,2,-999,9,310.1,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,-999,16,16,5.4488,32.4509,2,-999,9,307.6,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,-999,16,16,5.4488,32.4509,2,-999,9,307.6,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,10611,17,17,5.4471,32.4511,2,32.4494,2,305.6,1,28.48,2,10.58,2,0.14,2,1.37,2
4,65.8119,-168.6272,10610,17,17,5.4471,32.4511,2,32.4504,2,305.6,1,28.48,2,10.6,2,0.14,2,1.37,2
4,65.8119,-168.6272,-999,30.3,30,5.3863,32.4613,2,-999,9,301.8,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,-999,30.3,30,5.3863,32.4613,2,-999,9,301.8,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,-999,30.8,31,5.3804,32.4625,2,-999,9,302.1,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,-999,30.8,31,5.3804,32.4625,2,-999,9,302.1,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,-999,32.5,32,5.3746,32.4637,2,-999,9,302,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,-999,32.5,32,5.3746,32.4637,2,-999,9,302,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,10609,34.1,34,5.3579,32.4668,2,32.4654,2,302.4,1,29.26,2,11,2,0.14,2,1.41,2
4,65.8119,-168.6272,10608,34.1,34,5.3579,32.4668,2,32.4658,2,302.4,1,29.26,2,11,2,0.14,2,1.41,2
4,65.8119,-168.6272,-999,41.6,41,5.3503,32.4687,2,-999,9,302.2,1,-999,9,-999,9,-999,9,-999,9
