Station_ID	Sample_Depth	Start_Latitude	Start_Longitude	Hg0_pM	HgT_pM	DMHg_pM	MMHg_pM	TRANSM	FLUORM	CTDPRS	CTDTMP	CTDSAL	CTDOXY	SILCAT	NITRAT	NITRIT	PHSPHT
26	18	83.729	-174.399	0.2	0.96	0.035	0.082	4.4516	0.032	18.1	-1.3051	28.4017	385.6	3.34	0.04	0.01	0.67
26	18	83.729	-174.399	0.2	0.96	0.035	0.082	4.4516	0.032	18.1	-1.3051	28.4017	385.6	3.53	0.09	0.01	0.67
26	18	83.729	-174.399	0.2	0.96	0.035	0.082	4.4235	0.066	18.1	-1.3051	28.4017	385.6	3.34	0.04	0.01	0.67
26	18	83.729	-174.399	0.2	0.96	0.035	0.082	4.4235	0.066	18.1	-1.3051	28.4017	385.6	3.53	0.09	0.01	0.67
26	24	83.729	-174.399	0.26		0.013	0.024	4.4492	0.041	24.3	-1.2443	29.0812	388.9	4.61	0.47	0.03	0.72
26	24	83.729	-174.399	0.26		0.013	0.024	4.4492	0.041	24.3	-1.2443	29.0812	388.9	4.61	0.45	0.06	0.72
26	24	83.729	-174.399	0.26		0.013	0.024	4.4451	0.051	24.3	-1.2443	29.0812	388.9	4.61	0.47	0.03	0.72
26	24	83.729	-174.399	0.26		0.013	0.024	4.4451	0.051	24.3	-1.2443	29.0812	388.9	4.61	0.45	0.06	0.72
26	47	83.729	-174.399	0.18	0.55	0.017	0.024	4.4391	0.094	47.4	-1.3673	29.7963	381.8	9.9	2.8	0.07	0.92
26	47	83.729	-174.399	0.18	0.55	0.017	0.024	4.4391	0.094	47.4	-1.3673	29.7963	381.8	9.41	2.51	0.08	0.91
26	47	83.729	-174.399	0.18	0.55	0.017	0.024	4.4365	0.091	47.4	-1.3673	29.7963	381.8	9.9	2.8	0.07	0.92
26	47	83.729	-174.399	0.18	0.55	0.017	0.024	4.4365	0.091	47.4	-1.3673	29.7963	381.8	9.41	2.51	0.08	0.91
26	52	83.729	-174.399	0.24	0.58	0.013	0.008	4.4119	0.173	52.5	-1.3112	30.4657	354	10.29	2.91	0.07	0.95
26	52	83.729	-174.399	0.24	0.58	0.013	0.008	4.4119	0.173	52.5	-1.3112	30.4657	354	15.68	5.14	0.04	1.11
