Station,depth,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,PHSPHT,PHSPHT_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NITRAT_FLAG_W,NITRAT
5,124,124.90,0,10.42,1,34.67,1,256.55,1,0.68,1.00,1.98,1,0.38,1,1,9.01
5,200,201.60,0,10.51,1,34.72,1,254.53,1,,9.00,,9,,9,9,0.00
5,200,202.00,0,10.51,1,34.72,1,254.55,1,,9.00,,9,,9,9,0.00
5,298,301.00,0,9.08,1,34.54,1,255.41,1,0.88,1.00,2.95,1,0.02,1,1,13.06
5,299,301.90,0,9.06,1,34.54,1,255.36,1,0.87,1.00,2.99,1,0.02,1,1,13.16
5,398,401.40,0,8.46,1,34.54,1,233.20,1,,9.00,,9,,9,9,0.00
5,398,401.80,0,8.49,1,34.55,1,234.03,1,1.12,1.00,5.57,1,0.02,1,1,18.07
7,5,5.04,0,,9,,9,,9,,9.00,,9,,9,9,0.00
7,18,18.60,0,13.82,1,34.04,1,92.45,1,0.43,1.00,1.23,1,0.08,1,1,3.18
7,33,33.30,0,13.40,1,33.90,1,89.18,1,0.46,1.00,1.26,1,0.09,1,1,3.77
7,49,49.10,0,12.99,1,33.41,1,87.96,1,0.50,1.00,1.28,1,0.13,1,1,4.34
7,73,73.80,0,11.19,1,34.03,1,91.21,1,0.66,1.00,1.69,1,0.42,1,1,7.51
7,98,98.90,0,10.64,1,33.90,1,95.20,1,0.76,1.00,2.16,1,0.01,1,1,9.71
7,147,148.60,0,9.72,1,33.99,1,99.95,1,0.96,1.00,3.12,1,0.01,6,1,13.42
7,198,200.00,0,9.30,1,33.72,1,104.56,1,1.08,1.00,3.81,1,0.01,6,1,15.55
7,298,300.80,0,8.07,1,33.86,1,110.60,1,1.35,1.00,6.04,1,0.01,6,1,20.20
7,398,401.50,0,6.57,1,33.80,1,115.65,1,1.63,1.00,9.19,1,0.01,6,1,24.63
7,496,500.30,0,5.42,1,33.75,1,122.84,1,1.79,1.00,12.44,1,0.01,6,1,26.90
7,746,753.60,0,3.92,1,34.02,1,132.93,1,2.00,1.00,23.78,1,0.01,6,1,29.87
7,994,1003.90,0,3.20,1,34.31,1,143.39,1,2.18,1.00,41.04,1,0.01,6,1,32.56
7,1244,1257.90,0,2.91,1,34.50,1,131.45,1,2.27,1.00,56.06,1,0.01,6,1,33.48
7,1492,1509.40,0,2.77,1,34.62,1,135.84,1,2.22,1.00,62.76,1,0.01,6,1,32.48
